model,prompt,sentence_sha256,stance,topic,prompt_tokens,completion_tokens,sentence
gpt-5,codebook,004b455be0b76b535b3bffad41f237c6e4642b42e56c4eb81ab89a18e6bfb35c,neutral,growth,,,"Overall, the Bank expects global growth to average about 3% over the projection horizon."
gpt-5,codebook,00591b5f4701e96fb07703166eaac1e48523a01a258f9f20767b02a96f5e5345,dovish,guidance,,,"An exception was the Bank of Mexico, which cut its policy rate 25 basis points in late March."
gpt-5,codebook,00a346f92c0a4a0eac565e9287c03a256929c6872e2bef556aa648e2e305a6e0,hawkish,inflation,,,"Since the outbreak of the conflict in the Middle East, global oil and natural gas prices have risen sharply, and this will boost global inflation in the near-term."
gpt-5,codebook,010ebfc19ca8fc4c1c6fdb28819503109793ba3f65a1eb041bd5b776ab337adf,hawkish,inflation,,,Inflation remains somewhat elevated.
gpt-5,codebook,0135011699d15f448753d667d4083eaf0c237845b8c714287888af0f27f5954e,neutral,financial_stability,,,"By contrast, banks remained resilient, with high regulatory capital ratios and improved funding structure, although their market-adjusted capital ratios remained depressed and sensitive to long-term interest rates."
gpt-5,codebook,018c5cfea12ac5c45926afd04f5385809aec579f5e39bd9580c34aa0d22f28e1,dovish,inflation,,,CPI inflation excluding changes in indirect taxes as well as core inflation measures have also come down and are all close to 2%.
gpt-5,codebook,01932b440d7fc748c27972c71f1de08777557f627e3e70371cb2c4bea0e6224c,neutral,guidance,,,"Governing Council is proceeding carefully, with particular attention to the risks and uncertainties."
gpt-5,codebook,020f11874d3d3241bdc543d1db26c54fb81944181f156706587b1c8d10c79e3c,hawkish,growth,,,"In the United States, growth is still expected to be solid over the projection horizon, boosted by AI-related investment and consumption growth."
gpt-5,codebook,024106161f3d40bc9c82a0f14507c13770ddc98636108b9d717425d477fa177e,neutral,guidance,,,The Summary of Economic Projections was released to the public following the conclusion of the meeting.
gpt-5,codebook,02b8d2a6dd9ad621ff130e01d5b13d01afdf9c4ef02a40f863f3cda68667be52,dovish,employment,,,"Average monthly increases in total nonfarm payrolls over July and August were weak, and job gains were revised down notably in May and June."
gpt-5,codebook,02db4f2503a8562a14f8cf1100a954879fb6c350aa2d28a852282cd297217aaa,dovish,inflation,363,342,"High shelter price inflation remains the main contributor to overall inflation, but it continues to ease."
gpt-5,codebook,03090b11c1efe2c4a4e669dd82bce8311ccfbae43c3a1156e0759fc59f71520f,hawkish,inflation,,,"A majority of participants emphasized upside risks to their outlooks for inflation, pointing to inflation readings moving further from 2 percent, continued uncertainty about the effects of tariffs, the possibility that elevated inflation proves to be more persistent than currently expected even after the inflation effects of this year's tariff increases fade, or the possibility of longer-term inflation expectations moving up after a long period of elevated inflation readings."
gpt-5,codebook,03bd65d4b9d859420c963ccd34f8bd36478c7f3dbb3db567145957d28fffe539,neutral,guidance,,,The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals.
gpt-5,codebook,03cb44b0f9e8a392611ef1cc2e9e72fe599138cf8a5f456b11d300d527379f2c,neutral,guidance,,,"The next scheduled date for announcing the overnight rate target is September 2, 2026."
gpt-5,codebook,04143e93a7ffd0aea2f39222a4493a518bce7dffc92aed1a5df40e4f9fa73f78,neutral,growth,,,"China’s GDP growth is expected to slow gradually, as weakening domestic demand offsets strength in exports."
gpt-5,codebook,0456c9082472184b14e3b1ccc5bebbff76b7e027f84c3585729e9e0ef802c336,hawkish,guidance,362,84,The Committee does not anticipate lowering the target range for the federal funds rate this year.
gpt-5,codebook,0493e23889b5e044055f297b9ef2135ec22a1839999862316b6a1325d9feba69,neutral,employment,,,Participants noted low net immigration or changes in labor force participation as factors reducing labor supply.
gpt-5,codebook,049ca4d54636154501de74aac1a4afb624f8dc56b135077544b3289cf3924e5a,dovish,guidance,,,"Voting against this action were Stephen I. Miran, who preferred to lower the target range for the federal funds rate by 1/2 percentage point at this meeting"
gpt-5,codebook,04b4b78777dc9a3aec7a86afe96c52c702510b56d1b3f64007b053989b11286b,dovish,guidance,381,149,"If a weakening economy puts further downward pressure on inflation and the upward price pressures from the trade disruptions are contained, there may be a need for a reduction in the policy interest rate."
gpt-5,codebook,04d6d781818091c18f468b6771219508b9a4416f14b18108036c265ac3e9dcdc,neutral,financial_stability,,,"Nevertheless, with reserves declining and expected to decline further, they noted that it was important to continue to monitor money market conditions closely and evaluate how close reserves were to their ample level."
gpt-5,codebook,05384d187dd6f2a068a5c0daab5e181d3202ccdb7b6a9a2171bb6a42483a933f,neutral,growth,,,"Real imports of goods and services declined sharply, likely reflecting the aftereffects of the substantial front-loading of imports recorded in the first quarter ahead of anticipated tariff hikes."
gpt-5,codebook,055d135efb002247eb9dbf551b7b92ef4e5faf0460c9f03f3b793a8df8e0b137,neutral,financial_stability,,,The Canadian dollar has depreciated slightly against the US dollar.
gpt-5,codebook,060bab960087d2cb4498861bfc672b5600029aeef2784307c530ae13200a1da0,dovish,growth,,,"In the euro area, higher prices for oil and natural gas will weigh on economic activity."
gpt-5,codebook,0640bbcdca3a34b08d45c0a7ccd480138d2e7102674234e4ecea7313f0f3cee0,neutral,financial_stability,,,The evolving conflict in the Middle East is causing heightened volatility and US trade policy continues to reshape global trade patterns.
gpt-5,codebook,06a172e1965ef8e99f7478b4cfbdfa1c980775cf21cd3856f415df6a86d8c632,neutral,growth,,,A key source of uncertainty is the upcoming review of the Canada-US-Mexico Agreement.
